Binaria,Ordinal,rpb,pvalue,Bin_0,Bin_1,Missing
Back pain,SF12_M1_2_v1,-0.335708944,0.000155428,76,126,30
Back pain,SF12_M1_5_v1,-0.315819522,0.000384253,76,126,30
Back pain,SF12_M1_8_v1,0.350686576,7.57E-05,76,126,30
Back pain,SF12_M1_9_v1,-0.340319028,0.000124992,76,126,30
Back pain,SF12_M1_10_v1,-0.321130448,0.000303425,76,126,30
Back pain,SF12_M1_11_v1,-0.347590554,8.81E-05,76,126,30
Back pain,SF12_M1_12_v1,-0.320997,0.000305246,76,126,30
Leg pain,Oswestry1_v1,0.303773189,0.000879209,135,65,32
Leg pain,SF12_M1_3_v1,-0.303847168,0.000876584,135,65,32
Low back pain,Oswestry1_v1,0.376600278,0.000546468,68,61,103
Low back pain,Oswestry2_v1,0.373637668,0.000607205,68,61,103
Low back pain,Oswestry4_v1,0.314729909,0.004130194,68,61,103
Low back pain,Oswestry9_v1,0.321859306,0.003332801,68,61,103
Low back pain,Oswestry10_v1,0.307713486,0.005077865,68,61,103
Low back pain,Summation_Oswestry,0.309760937,0.004783038,68,61,103
Low back pain,SF12_M1_1_v1,0.431251377,6.63E-05,68,61,103
Low back pain,SF12_M1_2_v1,-0.404098587,0.000196792,68,61,103
Low back pain,SF12_M1_3_v1,-0.475797276,9.29E-06,68,61,103
Low back pain,SF12_M1_4_v1,-0.511817007,1.59E-06,68,61,103
Low back pain,SF12_M1_5_v1,-0.464982815,1.53E-05,68,61,103
Low back pain,SF12_M1_6_v1,-0.472819193,1.07E-05,68,61,103
Low back pain,SF12_M1_7_v1,-0.490186399,4.68E-06,68,61,103
Low back pain,SF12_M1_8_v1,0.352672275,0.001248387,68,61,103
Low back pain,SF12_M1_9_v1,-0.375056824,0.000577376,68,61,103
Low back pain,SF12_M1_10_v1,-0.302410315,0.005918346,68,61,103
Low back pain,SF12_M1_11_v1,-0.368000026,0.000740238,68,61,103
Low back pain,SF12_M1_12_v1,-0.357401732,0.001065091,68,61,103
