demonimador,numerador,Frequência,Qtd_0_Denom,Qtd_1_Denom,D0N0,D0N1,D1N0,D1N1
Dor nas costas,Livrar-se da dor nas costas,0.918918919,16,111,7,9,9,102
Lombalgia,Dor nas costas,0.918032787,67,61,32,35,5,56
Lombalgia,Analgésicos,0.85483871,68,62,33,35,9,53
Dor nas pernas,Analgésicos,0.84375,134,64,54,80,10,54
Dor nas pernas,Dor nas costas,0.84375,139,64,68,71,10,54
Lombalgia,Livrar-se da dor nas costas,0.836065574,39,61,4,35,10,51
Dor nas costas,Analgésicos,0.81147541,78,122,41,37,23,99
Dor nas pernas,Livrar-se da dor nas costas,0.771929825,68,57,2,66,13,44
Dor nas pernas,Lombalgia,0.727272727,72,55,51,21,15,40
Dor nas costas,Masculino,0.703125,79,128,31,48,38,90
Dor nas pernas,Masculino,0.692307692,139,65,46,93,20,45
Lombalgia,Masculino,0.677419355,74,62,28,46,20,42
Lombalgia,Dor nas pernas,0.655737705,66,61,51,15,21,40
Dor nas pernas,DN - Queimação,0.639344262,129,61,83,46,22,39
Lombalgia,D29,0.629032258,74,62,71,3,23,39
Dor nas costas,Lombalgia,0.615384615,37,91,32,5,35,56
Dor nas pernas,D46,0.581818182,72,55,67,5,23,32
Dor nas pernas,D44,0.563636364,72,55,66,6,24,31
Dor nas pernas,Cirurgia na coluna,0.555555556,132,54,89,43,24,30
Lombalgia,DN - Queimação,0.553571429,62,56,40,22,25,31
Lombalgia,D32,0.548387097,74,62,71,3,28,34
Dor nas pernas,D29,0.545454545,72,55,61,11,25,30
Dor nas pernas,D32,0.545454545,72,55,66,6,25,30
Lombalgia,D44,0.532258065,74,62,69,5,29,33
Lombalgia,D46,0.532258065,74,62,69,5,29,33
Dor nas costas,DN - Queimação,0.504273504,75,117,48,27,58,59
